Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2022-10-19,92900,-3.03,6.64,1.03,0.0051,1425.02001953125,2237.44,-0.85
2022-10-20,90200,-2.91,6.45,1.0,0.0062,1435.010009765625,2218.09,-0.61
2022-10-21,90500,0.33,6.47,1.0,0.003,1430.31005859375,2213.12,2.31
2022-10-24,91800,1.44,6.56,1.02,0.003,1428.1099853515625,2236.16,0.86
2022-10-25,93500,1.85,6.68,1.03,0.0036,1443.9599609375,2235.07,2.25
2022-10-26,93900,0.43,6.71,1.04,0.0045,1426.9300537109375,2249.56,-2.04
2022-10-27,90000,-4.15,6.43,1.0,0.0063,1412.68994140625,2288.78,-1.63
2022-10-28,83400,-7.33,5.96,0.92,0.0106,1420.6500244140625,2268.4,2.87
2022-10-31,82700,-0.84,5.91,0.91,0.0086,1421.6500244140625,2293.61,-1.03
2022-11-01,83900,1.45,6.00,0.93,0.0052,1424.6700439453125,2335.22,-0.89
2022-11-02,84500,0.72,6.04,0.93,0.0035,1416.5999755859375,2336.87,-3.36
2022-11-03,82700,-2.13,5.91,0.91,0.004,1423.0999755859375,2329.17,-1.73
2022-11-04,84500,2.18,6.04,0.93,0.0042,1423.6500244140625,2348.43,1.28
2022-11-07,86500,2.37,6.18,0.96,0.0038,1402.1099853515625,2371.79,0.85
2022-11-08,87700,1.39,6.27,0.97,0.0038,1392.699951171875,2399.04,0.49
2022-11-09,89200,1.71,6.38,0.99,0.0036,1374.1500244140625,2424.41,-2.48
2022-11-10,89100,-0.11,6.37,0.99,0.0053,1370.550048828125,2402.23,7.35
2022-11-11,93500,4.94,6.68,1.03,0.0069,1349.3699951171875,2483.16,1.88
2022-11-14,90900,-2.78,6.50,1.01,0.0034,1313.030029296875,2474.65,-1.12
2022-11-15,91600,0.77,6.55,1.01,0.0034,1324.0799560546875,2480.33,1.45
2022-11-16,91500,-0.11,6.54,1.01,0.0036,1316.260009765625,2477.45,-1.54
2022-11-17,87700,-4.15,6.27,0.97,0.0051,1336.4300537109375,2442.9,-0.35
2022-11-18,88400,0.8,6.32,0.98,0.0041,1342.75,2444.48,0.01
2022-11-21,86300,-2.38,6.17,0.95,0.0029,1339.030029296875,2419.5,-1.09
2022-11-22,85200,-1.27,6.09,0.94,0.0022,1359.75,2405.27,1.36
2022-11-23,85200,0.0,6.09,0.94,0.002,1352.68994140625,2418.01,0.99
2022-11-25,85100,-2.07,6.08,0.94,0.002,1317.8900146484375,2437.86,-0.52
2022-11-28,83100,-2.35,5.94,0.92,0.0034,1334.56005859375,2408.27,-1.58
2022-11-29,83700,0.72,5.98,0.93,0.0021,1340.1199951171875,2433.39,-0.59
2022-11-30,85000,1.55,6.08,0.94,0.0046,1325.3699951171875,2472.53,4.41
2022-12-01,84700,-0.35,6.05,0.94,0.004,1279.800048828125,2479.84,0.13
2022-12-02,81900,-3.31,5.85,0.91,0.0063,1303.25,2434.33,-0.18
2022-12-05,81000,-1.1,5.79,0.9,0.0048,1299.1700439453125,2419.32,-1.93
2022-12-06,81000,0.0,5.79,0.9,0.0038,1304.3699951171875,2393.16,-2.0
2022-12-07,78900,-2.59,5.64,0.87,0.0049,1319.7099609375,2382.81,-0.51
2022-12-08,78800,-0.13,5.63,0.87,0.0052,1314.0999755859375,2371.08,1.13
2022-12-09,81500,3.43,5.83,0.9,0.0041,1316.6300048828125,2389.04,-0.7
2022-12-12,81100,-0.49,5.80,0.9,0.0017,1303.1700439453125,2373.02,1.26
2022-12-13,82300,1.48,5.88,0.91,0.0038,1305.9200439453125,2372.4,1.01
2022-12-14,81800,-0.61,5.85,0.9,0.0032,1288.97998046875,2399.25,-0.76
2022-12-15,80200,-1.96,5.73,0.89,0.0024,1295.6800537109375,2360.97,-3.23
2022-12-16,78400,-2.24,5.60,0.87,0.0053,1317.0999755859375,2360.02,-0.97
2022-12-19,79000,0.77,5.65,0.87,0.0025,1308.8599853515625,2352.17,-1.49
2022-12-20,78300,-0.89,5.60,0.87,0.0019,1301.3299560546875,2333.29,0.01
2022-12-21,78000,-0.38,5.58,0.86,0.0021,1283.6400146484375,2328.95,1.54
2022-12-22,79200,1.54,5.66,0.88,0.0028,1280.77001953125,2356.73,-2.18
2022-12-23,77800,-1.77,5.56,0.86,0.0021,1290.199951171875,2313.69,0.21
2022-12-27,77000,0.0,5.50,0.85,0.0023,1275.1300048828125,2332.79,-1.38
2022-12-28,76000,-1.3,5.43,0.84,0.0026,1272.280029296875,2280.45,-1.35
2022-12-29,75000,-1.32,5.36,0.83,0.0024,1274.3199462890625,2236.4,2.59
2023-01-03,75600,-0.13,5.40,0.84,0.0037,1270.0999755859375,2218.68,-0.76
2023-01-04,81000,7.14,5.79,0.9,0.0071,1279.0799560546875,2255.98,0.69
2023-01-05,81400,0.49,5.82,0.9,0.0048,1271.0799560546875,2264.65,-1.47
2023-01-06,83100,2.09,5.94,0.92,0.0051,1274.1800537109375,2289.97,2.56
2023-01-09,86000,3.49,6.15,0.95,0.0054,1252.8800048828125,2350.19,0.63
2023-01-10,86500,0.58,6.18,0.96,0.0043,1239.280029296875,2351.31,1.01
2023-01-11,87300,0.92,6.24,0.97,0.0042,1240.1600341796875,2359.53,1.76
2023-01-12,86800,-0.57,6.20,0.96,0.0042,1241.5999755859375,2365.1,0.64
2023-01-13,85700,-1.27,6.13,0.95,0.0028,1239.1300048828125,2386.09,0.71
2023-01-17,86000,0.23,6.15,0.95,0.0022,1240.7099609375,2379.39,0.14
2023-01-18,85100,-1.05,6.08,0.94,0.0021,1237.0,2368.32,-1.24
2023-01-19,85500,0.47,6.11,0.95,0.0023,1237.8800048828125,2380.34,-0.96
2023-01-20,87600,2.46,6.26,0.97,0.0033,1232.1800537109375,2395.26,2.66
2023-01-25,91400,4.34,6.53,1.01,0.005,1232.6600341796875,2428.57,-0.18
2023-01-26,92300,0.98,6.60,1.02,0.0032,1232.5899658203125,2468.65,1.76
2023-01-27,91500,-0.87,6.54,1.01,0.0035,1231.8499755859375,2484.02,0.95
2023-01-30,90700,-0.87,6.48,1.0,0.0036,1228.949951171875,2450.47,-1.96
2023-01-31,88500,-2.43,6.33,0.98,0.0071,1231.5,2425.08,1.67
